Year,World Population,Yearly Change,Net Change,Density (P/Km2)
1990,5327231061,1.71%,"89,789,503",36
1991,5414289444,1.63%,"87,058,383",36
1992,5498919809,1.56%,"84,630,365",37
1993,5581597546,1.50%,"82,677,737",37
1994,5663150427,1.46%,"81,552,881",38
1995,5744212979,1.43%,"81,062,552",39
1996,5824891951,1.40%,"80,678,972",39
1997,5905045788,1.38%,"80,153,837",40
1998,5984793942,1.35%,"79,748,154",40
1999,6064239055,1.33%,"79,445,113",41
2000,6143493823,1.31%,"79,254,768",41
2001,6222626606,1.29%,"79,132,783",42
2002,6301773188,1.27%,"79,146,582",42
2003,6381185114,1.26%,"79,411,926",43
2004,6461159389,1.25%,"79,974,275",43
2005,6541907027,1.25%,"80,747,638",44
2006,6623517833,1.25%,"81,610,806",44
2007,6705946610,1.24%,"82,428,777",45
2008,6789088686,1.24%,"83,142,076",46
2009,6872767093,1.23%,"83,678,407",46
2010,6956823603,1.22%,"84,056,510",47
2011,7041194301,1.21%,"84,370,698",47
2012,7125828059,1.20%,"84,633,758",48
2013,7210581976,1.19%,"84,753,917",48
2014,7295290765,1.17%,"84,708,789",49
2015,7379797139,1.16%,"84,506,374",50
2016,7464022049,1.14%,"84,224,910",50
2017,7547858925,1.12%,"83,836,876",51
2018,7631091040,1.10%,"83,232,115",51
2019,7713468100,1.08%,"82,377,060",52
