Country Name,North America,South Asia - WB,Latin America & Caribbean - WB,East Asia & Pacific - WB,Middle East & North Africa - WB,Sub-Saharan Africa - WB,Europe & Central Asia - WB
1990,277373464,1141434379,441597528,1818247576,256203998,516629688,842030509
1991,281077441,1166599697,449847635,1844603995,263445808,530716971,846364518
1992,284943859,1192502803,458008075,1869453624,270652251,544899623,849816712
1993,288662674,1219279298,466139063,1893594516,276897626,559413902,852735458
1994,292185983,1246240229,474258790,1917553356,282903612,574094137,854892657
1995,295640057,1272943087,482331291,1940892820,289154944,589328085,856511549
1996,299064347,1299452085,490304061,1964042971,295366235,605186062,858209225
1997,302623445,1326029761,498199382,1986768093,301680248,621065325,859711482
1998,306070116,1352853147,506010566,2008680261,308041622,637198518,860876126
1999,309502571,1379867738,513714410,2028993034,314472124,653883261,861848594
2000,312909974,1406946728,521281149,2048148696,321037453,671212486,862786211
2001,316052361,1434306106,528688278,2066530023,327691655,689161982,863909133
2002,319048184,1462021914,535935546,2083969920,333949565,707693440,865474170
2003,321815286,1489278936,542976557,2100610344,340215354,726785433,867701442
2004,324809693,1515599723,549897638,2116651449,347044925,746546802,870270838
2005,327824506,1541135031,556739532,2132517760,354462370,766978666,872913705
2006,331015609,1565718156,563424119,2148405823,362633997,788110000,875627934
2007,334185120,1589218004,569972223,2164155292,371324802,810019264,878767025
2008,337406357,1612407426,576386180,2179914111,380294099,832642735,882357452
2009,340466060,1636052663,582738079,2195169711,389332369,855885698,885846236
2010,343397156,1660139325,588873862,2210203758,397997557,879797419,889222824
2011,345987373,1684436757,595510008,2225992094,406045323,904282154,891279641
2012,348656682,1708114582,602139396,2243776727,414117603,929328653,894762079
2013,351207902,1731137145,608642242,2261274500,422790409,955096428,899035925
2014,353888902,1753568847,615046755,2278232287,431664579,981506334,903601049
2015,356507139,1775178483,621390109,2294507020,440506473,1008698525,908123143
2016,359245796,1796850154,627668470,2310721864,448917409,1036155715,912374705
2017,361731237,1818868706,633797190,2327134580,456885486,1063885000,915855416
2018,363967201,1840534093,639628226,2341387076,465073490,1092403699,918782553
2019,365995094,1861598514,645295804,2353862247,473201775,1121548775,921179725
